customer_id,signup_date,age,country,marketing_channel,plan_type,is_student
1,31/01/2023,,UK,Google,,
2,2023-12-30,67,,referral,pro,No
3,2022-05-10,,ES,insta_ads,Pro,TRUE
4,2023-07-18,43,Germany,,,0
5,04/02/2023,40,DE,email,enterprise,Yes
6,31/12/2022,23,IT,,enterprise,Yes
7,20/09/2024,45,UK,referral,,FALSE
8,2022-11-10,25,FR,UNKWN,BASIC,
9,2024-06-26,,,,,Yes
10,2020-05-01,,,referral,,Yes
11,2021-04-11,,UK,,Pro,TRUE
12,23/05/2023,62,FR,google_ads,,0
13,2020-11-26,25,,LinkedIn Ads,starter,TRUE
14,2024-01-22,36,PL,google_ads,basic,0
15,28/03/2020,55,,,BASIC,Yes
16,28/10/2023,46,FR,Instagram Ads,,FALSE
17,2023-01-28,40,FR,,BASIC,
18,21/05/2022,64,DE,,basic,Yes
19,14/08/2024,49,de,google_ads,pro,0
20,2020-05-10,27,FR,instagram,Pro,Yes
21,12/08/2024,44,IT,,,1
22,25/08/2023,66,Germany,referral,,0
23,2022-02-08,18,,unknown,starter,FALSE
24,2020-12-09,56,,,Pro,0
25,24/02/2024,46,DE,,BASIC,Yes
26,2023-12-08,,,UNKWN,basic,TRUE
27,2022-03-16,62,,,,0
28,2021-01-20,20,de,Insta,,Yes
29,30/04/2023,68,Germany,referral,Pro,No
30,13/08/2022,64,,Instagram Ads,BASIC,1
31,03/10/2020,54,NL,instagram,pro,
32,30/03/2023,48,PL,,,
33,04/04/2021,28,,unknown,enterprise,1
34,30/08/2023,39,germany,linkedin,Basic,
35,2020-01-22,35,PL,,Pro,1
36,09/09/2020,52,,,,FALSE
37,17/01/2022,23,NL,email,,0
38,06/05/2022,20,Germany,referral,basic,1
39,03/05/2024,,ES,Google,pro,Yes
40,19/04/2021,22,PL,,,FALSE
41,18/12/2022,26,UK,,BASIC,No
42,2021-05-25,45,IT,linkedin,BASIC,TRUE
43,2024-09-01,36,NL,Instagram Ads,,1
44,2024-02-08,45,IT,,,Yes
45,2021-11-30,44,DE,email,BASIC,
46,2022-09-02,30,NL,unknown,,FALSE
47,2024-12-11,,,instagram,,0
48,2020-07-08,55,FR,linkedin,BASIC,0
49,15/08/2022,60,ES,google_ads,,Yes
50,2021-11-17,,de,google_ads,,0
51,2022-08-15,38,,instagram,,1
52,2021-07-16,44,de,Google,BASIC,TRUE
53,2024-05-09,,,,basic,FALSE
54,21/06/2023,63,germany,,,Yes
55,11/04/2022,23,germany,Instagram Ads,enterprise,FALSE
56,08/03/2024,55,FR,,Pro,1
57,2023-02-28,66,IT,,starter,0
58,17/02/2024,28,,unknown,pro,1
59,2021-10-08,64,,Instagram Ads,enterprise,No
60,2020-01-21,58,,linkedin,,
61,20/04/2022,,,linkedin,Pro,No
62,15/06/2020,34,DE,,starter,1
63,21/07/2023,,UK,,starter,FALSE
64,22/01/2021,56,germany,email,,Yes
65,23/08/2021,24,,Insta,BASIC,Yes
66,11/11/2020,47,NL,,Basic,
67,2020-01-14,38,PL,google_ads,starter,FALSE
68,2020-08-29,18,Germany,UNKWN,Pro,TRUE
69,2022-02-15,42,ES,,basic,FALSE
70,2023-10-01,49,,insta_ads,Basic,1
71,2021-07-18,,NL,email,,
72,16/06/2022,,PL,linkedin,BASIC,1
73,25/09/2023,25,IT,Instagram Ads,basic,No
74,2020-04-01,22,IT,email,Basic,Yes
75,22/10/2023,47,DE,,BASIC,
76,2022-08-13,68,,linkedin,Basic,No
77,18/01/2024,25,FR,unknown,starter,
78,2023-12-22,66,IT,unknown,starter,Yes
79,2021-05-23,36,,instagram,,FALSE
80,2022-02-14,61,,,Basic,TRUE
81,04/02/2020,,de,,basic,0
82,2020-07-24,,,Insta,BASIC,Yes
83,09/01/2023,47,ES,,starter,TRUE
84,04/05/2024,32,,,Pro,TRUE
85,2023-11-12,53,de,referral,pro,TRUE
86,2022-10-22,,Germany,referral,Basic,FALSE
87,18/10/2022,61,DE,email,starter,TRUE
88,14/11/2023,44,Germany,unknown,Pro,TRUE
89,2021-07-19,30,,Google,starter,1
90,2023-02-03,31,IT,Insta,enterprise,1
91,2024-11-30,54,FR,referral,Pro,Yes
92,09/02/2024,,germany,,Pro,1
93,03/12/2021,65,,google_ads,,Yes
