subscription_id,customer_id,start_date,end_date,status,cancellation_reason,renewal_count,monthly_fee
1,14143,17-08-2022,,active,,-1,9.99
2,17715,2021-03-15,20-10-2023,churned,Too expensive,2,12.99
3,1758,2021-07-20,01-09-2022,Canceled,N/A,3,9.99
4,2940,2024-12-01,2027-07-06,churned,Too expensive,1,19.99 USD
5,8357,2020-06-09,2020-07-18,cancelled,,1,19.99
6,7729,08-03-2024,2024-09-09,active,,7,9.99
7,19403,15-11-2021,29-01-2023,churned,Lack of use,3,24.99
8,17415,28-02-2022,2024-11-03,churned,Lack of use,11,12.99
9,1052,2021-07-23,03-10-2023,churned,N/A,10,49.99
10,17364,04-07-2022,21-12-2023,churned,,8,9.99
11,7903,2024-07-01,,active,,1,19.99
12,10555,05-09-2023,2025-09-08,churned,,10,12.99
13,12696,2020-08-18,2020-12-12,cancelled,Other,9,19.99
14,13502,2023-09-05,2025-05-26,active,,14,24.99
15,14939,2024-11-17,16-02-2025,churned,N/A,0,9.99
16,16602,23-12-2023,,active,,1,9.99
17,1520,2022-12-27,2023-11-17,churned,Technical issues,9,9.99
18,5310,2024-01-02,2025-04-01,churned,,3,24.99 USD
19,14314,20-02-2023,14-05-2023,churned,Switched to competitor,6,24.99
20,10192,2023-08-30,,active,,13,24.99
21,4112,2021-04-03,2022-03-18,cancelled,Technical issues,-1,9.99
22,12267,2022-02-22,15-02-2024,active,,-1,49.99
23,13074,25-04-2024,08-09-2024,Canceled,,3,24.99
24,16708,2023-02-28,2024-10-18,active,,6,19.99
25,16802,2022-01-30,,active,,9,9.99
26,537,2020-03-18,2023-01-20,churned,Too expensive,9,9.99
27,7283,2020-02-16,2022-07-14,cancelled,Lack of use,2,19.99
28,9669,30-01-2020,,active,,5,49.99
29,10245,2021-08-18,08-12-2022,cancelled,N/A,13,9.99
30,944,2022-04-17,,active,,-1,12.99
31,8915,2024-10-30,,active,,4,12.99
32,5661,2021-07-02,,active,,11,19.99
33,17411,2023-04-13,,active,,2,9.99
34,11824,20-01-2020,2022-10-29,cancelled,Technical issues,-1,12.99
35,15555,2022-04-04,04-07-2024,active,,10,24.99
36,10157,2020-04-27,,active,,12,49.99
37,7211,2020-05-14,,active,,3,19.99 USD
38,8225,2020-11-13,15-04-2021,churned,,4,19.99
39,593,2020-01-19,,active,,6,49.99
40,14183,09-07-2020,,active,,0,49.99
41,18289,03-11-2020,2021-11-02,churned,Too expensive,4,24.99
42,14936,2021-07-24,,active,,13,49.99
43,11541,2020-03-31,2020-06-15,active,,2,49.99
44,1128,2022-07-17,2025-01-08,churned,N/A,5,19.99
45,15850,2023-04-05,13-08-2024,churned,,7,24.99
46,8943,12-05-2020,2022-11-03,active,,12,49.99
47,3689,2022-08-08,01-06-2024,active,,9,12.99
48,1381,26-04-2023,,active,,3,19.99
49,14409,24-04-2020,,active,,4,24.99
50,19663,03-07-2024,2024-08-31,active,,4,49.99
51,8470,2024-08-30,10-04-2027,churned,N/A,-1,12.99
52,9474,2024-04-08,,active,,12,24.99
53,7935,2024-12-23,,active,,11,19.99 USD
54,19812,2022-04-19,2024-01-25,churned,Other,11,9.99
55,10481,2021-05-21,,active,,7,24.99 USD
56,17345,2022-06-17,2022-09-16,churned,Other,10,19.99
57,5621,01-01-2023,2023-07-24,cancelled,Other,14,49.99
58,7103,2023-06-12,2025-02-08,cancelled,N/A,9,9.99 USD
59,12615,19-08-2022,16-05-2024,cancelled,,10,19.99
60,2507,03-05-2021,23-04-2024,cancelled,N/A,5,49.99
61,1802,2023-06-26,2025-05-12,cancelled,,5,9.99
62,6411,18-10-2023,,active,,14,49.99
63,4187,2024-02-21,,active,,7,12.99
64,9219,2022-11-16,2023-02-03,cancelled,Other,6,24.99 USD
65,14221,2021-09-19,,active,,9,12.99 USD
66,4068,2023-10-08,,active,,5,19.99
67,3112,31-05-2023,,active,,12,19.99 USD
68,15116,2023-04-26,,active,,6,24.99 USD
69,12249,2021-05-31,2022-07-22,Canceled,,1,49.99
70,3272,2022-08-28,,active,,3,49.99
71,16193,2024-09-29,2025-03-30,cancelled,,14,9.99
72,13852,12-05-2021,,active,,2,49.99
73,8945,2021-05-04,2023-12-19,cancelled,,3,12.99
74,5796,2022-04-13,23-10-2023,cancelled,Too expensive,11,9.99
75,17813,19-01-2020,05-04-2021,churned,Technical issues,5,24.99
76,5978,2022-03-17,25-09-2022,cancelled,,10,19.99
77,14746,2021-10-28,2024-01-16,churned,Too expensive,0,24.99
78,19702,2021-08-13,2024-06-07,active,,8,19.99
79,5782,2024-11-15,2027-08-10,churned,,3,19.99
80,19140,2022-02-25,2021-11-26,cancelled,Too expensive,-1,9.99
81,3611,2022-01-02,2024-03-09,cancelled,,3,49.99
82,19048,2020-04-10,,active,,11,19.99
83,9148,2020-01-18,2022-01-02,active,,2,19.99
84,15283,2022-01-02,,active,,12,19.99
85,16970,12-02-2022,09-10-2023,churned,Lack of use,2,19.99
86,1401,2022-02-22,26-03-2022,cancelled,Technical issues,6,9.99
87,4754,2022-04-08,2023-10-07,churned,,4,49.99
88,18959,2021-08-20,2021-12-10,cancelled,N/A,12,9.99
89,14529,2023-02-14,2024-09-29,cancelled,Switched to competitor,13,19.99
90,17980,2022-08-09,,active,,0,19.99
91,3279,2024-03-02,2026-04-04,Canceled,Too expensive,9,49.99
92,14527,2024-10-05,2026-11-07,cancelled,Switched to competitor,2,9.99
93,19134,16-01-2020,21-08-2022,churned,Other,14,49.99
94,16924,2023-03-11,,active,,7,19.99
95,5094,18-04-2022,2022-06-08,cancelled,Lack of use,2,9.99
96,2555,2024-06-23,03-07-2025,cancelled,,4,19.99
97,10738,2023-08-28,26-02-2024,active,,2,19.99
98,4203,10-05-2023,2024-09-14,churned,Lack of use,12,9.99
99,14840,2021-03-21,2023-07-18,cancelled,Switched to competitor,4,19.99
100,4548,2024-07-31,,active,,11,9.99
101,5816,21-12-2021,,active,,-1,24.99
102,16942,2020-12-26,,active,,4,24.99
103,16953,2020-03-03,2021-07-19,churned,,8,12.99
104,4107,12-06-2022,,active,,3,19.99
105,5523,04-08-2024,,active,,4,49.99 USD
106,8372,2023-12-01,02-04-2024,active,,13,9.99
107,17828,26-05-2023,2024-11-07,churned,Lack of use,14,49.99
108,3565,07-12-2024,16-09-2026,churned,Technical issues,1,12.99
109,466,29-12-2020,2022-09-17,cancelled,Other,13,24.99
110,9728,2024-12-29,,active,,2,19.99
111,9587,2020-05-22,,active,,2,49.99
112,17136,2021-11-12,2021-12-26,churned,Lack of use,2,19.99
113,12419,10-05-2020,20-09-2022,active,,2,49.99
114,1666,2020-04-24,29-08-2021,churned,Technical issues,12,24.99
115,19486,2022-06-22,2024-03-20,churned,Lack of use,1,12.99
116,825,12-10-2024,16-02-2027,active,,1,12.99
117,7161,2021-04-24,2024-01-08,churned,,10,24.99
118,2598,2023-04-23,2025-11-06,churned,Technical issues,5,12.99
119,19565,2021-12-15,2022-12-12,active,,3,19.99
120,16526,06-03-2020,,active,,10,12.99
121,39,2023-08-22,,active,,7,49.99
122,9474,2020-10-25,2021-01-20,cancelled,,11,19.99
123,11732,2023-02-05,,active,,3,24.99
124,13735,2021-11-12,,active,,6,24.99
125,6860,31-03-2020,25-02-2021,active,,12,19.99
126,19464,2021-11-09,23-12-2021,active,,1,49.99
127,6,2020-04-24,27-01-2023,cancelled,Switched to competitor,6,9.99
128,6163,08-06-2021,2024-02-20,cancelled,Too expensive,12,24.99
129,19803,2021-07-21,2021-12-14,churned,Too expensive,13,49.99
130,11566,12-12-2023,,active,,13,9.99
131,4963,2022-10-02,,active,,2,24.99
132,6522,31-01-2022,,active,,2,24.99
133,11042,2023-11-16,2026-08-21,churned,Lack of use,-1,12.99
134,19598,04-07-2022,,active,,-1,12.99
135,16272,2021-02-26,,active,,6,49.99
136,9613,2023-02-11,23-12-2025,churned,Other,1,19.99 USD
137,492,2020-02-07,2021-12-23,churned,,10,12.99
138,19152,2023-12-27,,active,,13,12.99
139,14674,2022-05-21,2025-04-26,Canceled,Other,0,9.99
140,17771,12-05-2022,06-01-2023,cancelled,N/A,-1,49.99
141,2179,13-06-2021,2022-09-21,active,,14,9.99
142,2213,2020-03-11,2023-03-01,active,,4,9.99
143,5905,2022-10-30,2025-04-05,churned,N/A,10,12.99
144,8331,2020-10-27,,active,,14,19.99
145,3706,2024-05-09,,active,,6,49.99
